Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Text Level),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
"SC – Verify Register, Login – If account creation is successful, use that account to login, the system will login successfully",NC-91,10323,Story,Done,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,Done,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,07/Jan/23 10:57 PM,07/Jan/23 11:05 PM,22/Mar/23 4:59 PM,07/Jan/23 11:05 PM,,0,Register,"If account creation is successful, use that account to login.

Test data (Login):

* FullName: VHP
* Telephone Number: 0795183424
* Email: 9a5vohongphuc@gmail.com
* Password: 123456

Test data (Register):

* Email: [9a5vohongphuc@gmail.com|mailto:9a5vohongphuc@gmail.com]
* Password: 123456",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- The system will login successfully,,,,,,,,,,NC-26,Register,,,- The system will login successfully,,,,,0|i001w7:,,NC Sprint 1,,,,,,,,System,"- After successfully creating an account with Test data (Login), enter content of Test data(Register) in Register Module.
- Click Submit",Pass,,,,Done
LG33 – Verify Password - Sequence of characters in a variety of keyboards,NC-86,10318,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:36 PM,06/Jan/23 11:00 PM,22/Mar/23 4:59 PM,,,0,Login,"Sequence of characters in a variety of keyboards

Test data:

* “aaaaaaaaaaa“",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-27,Login,,,"- An error message ""Sequence of characters in a variety of keyboards"" must shown",,,,,0|i001vr:,,NC Sprint 1,,,,,,,,Unit,- Enter content of data in Password Field,Fail,,,,To Do
LG32 – Verify Password - Characters cannot be repeated too much,NC-85,10317,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:35 PM,06/Jan/23 10:58 PM,06/Jan/23 11:48 PM,,,0,Login,"Characters cannot be repeated too much

Test data:

* “aaaaaaaaaa“",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-27,Login,,,"- An error message ""Characters cannot be repeated too much"" must shown",,,,,0|i001vj:,,NC Sprint 1,,,,,,,,Unit,- Enter content of data in Password Field,Fail,,,,To Do
LG31 – Verify Password - Password must be hidden the interface.,NC-84,10316,Story,Done,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,Done,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:35 PM,06/Jan/23 10:56 PM,22/Mar/23 4:59 PM,06/Jan/23 10:56 PM,,0,Login,Password must be hidden the interface.,,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,"- An error message "" Password must be hidden the interface."" is shown",,,,,,,,,,NC-27,Login,,,"- An error message "" Password must be hidden the interface."" must shown",,,,,0|i001vb:,,NC Sprint 1,,,,,,,,Unit,- Click Hide button,Pass,,,,Done
LG30 – Verify Password - Passwords must be between 8 and 20 digits,NC-83,10315,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:35 PM,06/Jan/23 10:54 PM,22/Mar/23 4:59 PM,,,0,Login,"Passwords must be between 8 and 20 digits

Test data:

* “abc123@“
* “abcd123456789101213@#$“",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-27,Login,,,"- An error message "" Passwords must be between 8 and 20 digits"" must shown",,,,,0|i001v3:,,NC Sprint 1,,,,,,,,Unit,- Enter content of data in Password Field,Fail,,,,To Do
LG29 – Verify Password - Confirm Password must not be blank,NC-82,10314,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:34 PM,06/Jan/23 10:54 PM,22/Mar/23 4:59 PM,,,0,Login,Confirm Password must not be blank,,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error.,,,,,,,,,,NC-27,Login,,,"- An error message "" Confirm Password must not be blank"" must shown",,,,,0|i001uv:,,NC Sprint 1,,,,,,,,Unit,- Don't enter anything in Password Field,Fail,,,,To Do
LG28 – Verify Password - Choose a difficult Password,NC-81,10313,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:34 PM,06/Jan/23 10:50 PM,22/Mar/23 4:59 PM,,,0,Login,"Choose a difficult Password

Test data:

* “123456“",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-27,Login,,,"- An error message "" Choose a difficult Password"" must shown",,,,,0|i001un:,,NC Sprint 1,,,,,,,,Unit,- Enter content of data in Password Field,Fail,,,,To Do
LG27 – Verify Password - Enter at-least one special character,NC-80,10312,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:34 PM,06/Jan/23 10:43 PM,22/Mar/23 4:59 PM,,,0,Login,"Enter at-least one special character

Test data:

* “abc123“",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-27,Login,,,"- An error message ""Enter at-least one special character"" must shown",,,,,0|i001uf:,,NC Sprint 1,,,,,,,,Unit,- Enter content of data in Password Field,Fail,,,,To Do
LG26 – Verify Password - Enter at-least one numeric value,NC-79,10311,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:34 PM,06/Jan/23 10:42 PM,22/Mar/23 4:59 PM,,,0,Login,"Enter at-least one numeric value

Test data:

* “abc@#$“",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-27,Login,,,"- An error message ""Enter at-least one numeric value"" must shown",,,,,0|i001u7:,,NC Sprint 1,,,,,,,,Unit,- Enter content of data in Password Field,Fail,,,,To Do
LG25 – Verify Password - Password must not be blank,NC-78,10310,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:33 PM,06/Jan/23 10:39 PM,22/Mar/23 4:59 PM,,,0,Login,Password must not be blank,,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-27,Login,,,"- An error message ""Password must not be blank"" must shown",,,,,0|i001tz:,,NC Sprint 1,,,,,,,,Unit,- Don't enter anything in Password Field,Fail,,,,To Do
LG24 – Verify Email – First character can not have space,NC-77,10309,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:32 PM,06/Jan/23 10:37 PM,22/Mar/23 4:59 PM,,,0,Login,"First character can not have space

Test data:

* “ “",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-27,Login,,,"- An error message ""First character can not have space"" must shown",,,,,0|i001tr:,,NC Sprint 1,,,,,,,,Unit,- Enter content of test data in Email Field,Fail,,,,To Do
LG23 – Verify Email – Email no must not be blank,NC-76,10308,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:30 PM,06/Jan/23 10:40 PM,22/Mar/23 4:59 PM,,,0,Login,Email no must not be blank,,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-27,Login,,,"- An error message ""Email no must not be blank"" must shown",,,,,0|i001tj:,,NC Sprint 1,,,,,,,,Unit,- Don't enter anything in Email Field,Fail,,,,To Do
RG19 – Verify Password - Sequence of characters in a variety of keyboards,NC-75,10307,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 10:02 PM,06/Jan/23 10:24 PM,22/Mar/23 4:59 PM,,,0,Register,"Passwords do not Match

Test data:

* “qwe“
* “zxcv“
* “asdf“",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-26,Register,,,"- An error message ""Sequence of characters in a variety of keyboards"" must shown",,,,,0|i001tb:,,NC Sprint 1,,,,,,,,Unit,- Enter content of test data in Password Field,Fail,,,,To Do
RG16 – Verify Password - Enter at-least one special character,NC-74,10306,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 9:54 PM,06/Jan/23 9:57 PM,22/Mar/23 4:59 PM,,,0,Register,"Enter at-least one special character

Test data:

* “abc123“",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-26,Register,,,"- An error message ""Enter at-least one special character"" must shown",,,,,0|i001t3:,,NC Sprint 1,,,,,,,,Unit,- Enter content of test data in Password Field,Fail,,,,To Do
RG06 – Verify Number Phone - Characters are not allowed.,NC-73,10305,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 9:25 PM,06/Jan/23 10:13 PM,22/Mar/23 4:59 PM,,,0,Register,"Characters are not allowed.

Test data:

* “abc“ ",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error ,,,,,,,,,,NC-26,Register,,,"- An error message ""Characters are not allowed"" must shown",,,,,0|i001sv:,,NC Sprint 1,,,,,,,,Unit,- Enter content of Test data in Number Phone Field,Fail,,,,To Do
RG22 - Verify Password - Characters cannot be repeated too much,NC-72,10304,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 9:03 PM,06/Jan/23 10:26 PM,22/Mar/23 4:59 PM,,,0,Register,"Characters cannot be repeated too much

Test data:

* “aaaaaaa“",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-26,Register,,,"- An error message ""Characters cannot be repeated too much"" must shown",,,,,0|i001sn:,,NC Sprint 1,,,,,,,,Unit,- Enter content of test data in Password Field,Fail,,,,To Do
RG21 – Verify Password - Password must be hidden the interface,NC-71,10303,Story,Done,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,Done,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 9:01 PM,06/Jan/23 10:09 PM,22/Mar/23 4:59 PM,06/Jan/23 10:09 PM,,0,Register,Password must be hidden the interface,,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,"- An error message ""Password must be hidden the interface"" is shown",,,,,,,,,,NC-26,Register,,,"- An error message ""Password must be hidden the interface"" must shown",,,,,0|i001sf:,,NC Sprint 1,,,,,,,,Unit,- Click button similar to Hide.,Pass,,,,Done
RG20 – Verify Password - Passwords must be between 8 and 20 digits,NC-70,10302,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 9:01 PM,06/Jan/23 10:08 PM,22/Mar/23 4:59 PM,,,0,Register,"Passwords must be between 8 and 20 digits

Test data:

* “abc123@”
* “abc12345678901112131415@#$“",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-26,Register,,,"- An error message ""Passwords must be between 8 and 20 digits"" must shown",,,,,0|i001s7:,,NC Sprint 1,,,,,,,,Unit,- Enter content of test data in Password Field,Fail,,,,To Do
RG18 – Verify Password - Confirm Password must not be blank,NC-69,10301,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 9:00 PM,06/Jan/23 10:01 PM,22/Mar/23 4:59 PM,,,0,Register,Confirm Password must not be blank,,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error.,,,,,,,,,,NC-26,Register,,,"- An error message ""Confirm Password must not be blank"" must shown",,,,,0|i001rz:,,NC Sprint 1,,,,,,,,Unit,- Don't enter anything in Password Field,Fail,,,,To Do
RG17 – Verify Password - Choose a difficult Password,NC-68,10300,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 9:00 PM,06/Jan/23 9:59 PM,22/Mar/23 4:59 PM,,,0,Register,"Choose a difficult Password

Test data:

* “123456”",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-26,Register,,,"- An error message ""Choose a difficult Password"" must shown",,,,,0|i001rr:,,NC Sprint 1,,,,,,,,Unit,- Enter of Test Data in Password Field,Fail,,,,To Do
RG15 – Verify Password - Enter at-least one numeric value,NC-67,10299,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 8:56 PM,06/Jan/23 9:53 PM,22/Mar/23 4:59 PM,,,0,Register,"Enter at-least one numeric value

Test data:

“abc@#$“",,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show error,,,,,,,,,,NC-26,Register,,,"- An error message ""Enter at-least one numeric value"" must shown",,,,,0|i001rj:,,NC Sprint 1,,,,,,,,Unit,- Enter of Test Data in Password Field,Fail,,,,To Do
RG14 – Verify Password - Password must not be blank,NC-66,10298,Bug,Open,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,Phúc Võ Hồng,62983bae9bc7150068ce7717,06/Jan/23 8:54 PM,06/Jan/23 9:49 PM,22/Mar/23 4:59 PM,,,0,Register,Password must not be blank,,Phúc Võ Hồng,62983bae9bc7150068ce7717,,,,,,,,,,,- Don't show Error.,,,,,,,,,,NC-26,Register,,,"- An error message ""Password must not be blank"" must shown",,,,,0|i001rb:,,NC Sprint 1,,,,,,,,Unit,- Don't enter anything in Password Field,Fail,,,,To Do
